title;slug;address;city;zone;province;country;type;price;priceValue;referenceCode;sourcePrice;sourceUrl;sortOrder;bedrooms;bathrooms;surface;description;imageUrl;gallery;tag;status;linkMode;vendorId;externalUrl;referralParameter;referralCode;features;latitude;longitude;sourceMentionRemoved
Apartamentos, bungalows y villas;apartamentos-bungalows-y-villas;Vera Playa;Vera Playa;Vera Playa;Alicante;España;Villa;Obra Nueva € 249.000;249000;LRN-042;Obra Nueva € 249.000;https://lrcostahomes.com/es/property/apartments-bungalows-and-villas/;0;3;3;70;El mayor y más diverso desarrollo inmobiliario de Almería, con 47 propiedades que se adaptan a todos los presupuestos y tipos de compradores: apartamentos y bungalows. Se prevé que la nueva estación de tren de alta velocidad AVE en Vera incremente aún más el valor de las propiedades una vez finalizada su construcción. Por qué comprar: Es uno de los mercados costeros de más rápido crecimiento de la región. “Se prevé que la nueva estación de tren de alta velocidad AVE esté operativa en la primavera de 2028, conectando con Murcia en 40 minutos y con Madrid en 3 horas, lo que impulsará aún más el crecimiento del valor de los inmuebles”. Más de 320 días de sol al año, playas mediterráneas de aguas cristalinas y una fuerte demanda de alquileres vacacionales.;https://lrcostahomes.com/wp-content/uploads/2026/09/1-Apt.jpg;"[""https://lrcostahomes.com/wp-content/uploads/2026/09/1-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/Central-outdoor-swimming-pool-Apt.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/3-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/5-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/8-Apt.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/Heated-indoor-swimming-pool-Apt.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1-Bung.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2-Bung.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/3-Bung.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4-Bung.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/5-Bung.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6-Bung.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7-Bung.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/apartments-bungalows-and-villas/;ref;MARTINEZ;"[""jardín"", ""Estacionamiento"", ""Solarium"", ""Piscina""]";37.16605826348;-1.858144506221;no
Local comercial;local-comercial;Calpe;Calpe;Calpe;Alicante;España;Villa;Obra Nueva € 201.000;201000;LRN-041;Obra Nueva € 201.000;https://lrcostahomes.com/es/property/business-premises/;0;0;0;93;Se ofrecen locales comerciales en la avenida principal de Calpe, a tan solo 200 metros de la playa del Arenal. Los locales tienen una superficie construida de 67 m² con terrazas de 25-27 m². Una excelente oportunidad para abrir tu negocio.;https://lrcostahomes.com/wp-content/themes/realhomes/common/images/placeholders/property-thumb-image.jpg;"[""https://lrcostahomes.com/wp-content/themes/realhomes/common/images/placeholders/property-thumb-image.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/FOTO-GENERAL-FACHADA-Y-PISCINA-100-680x510.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1.-Las-torres-680x510.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/business-premises/;ref;MARTINEZ;[];38.640939443215;0.047202015294441;no
Apartamentos en Calpe;apartamentos-en-calpe;Calpe;Calpe;Calpe;Alicante;España;Villa;Obra Nueva € 430.000;430000;LRN-040;Obra Nueva € 430.000;https://lrcostahomes.com/es/property/apartments-in-calpe/;0;23;23;102;Un exclusivo complejo residencial de nueva construcción a tan solo 200 metros de la playa. Ubicado en una parcela privilegiada sin edificios enfrente, todos los apartamentos disfrutan de excelentes vistas, y desde la séptima planta en adelante, las panorámicas hacia el mar y las salinas son completamente despejadas. El complejo consta de dos torres de 15 plantas con modernos apartamentos de 2 y 3 dormitorios y 2 baños, todos con amplias terrazas ideales para disfrutar del clima mediterráneo. En la planta 15 se encuentran dos exclusivos áticos de 4 dormitorios y 2 baños, que ofrecen aún más espacio y vistas inmejorables. Además, todos los apartamentos incluyen una plaza de aparcamiento subterráneo y un trastero. Este complejo residencial destaca no solo por su diseño y ubicación, sino también porque actualmente ofrece el mejor precio por metro cuadrado de todas las promociones nuevas en Calpe, lo que lo convierte en una oportunidad única tanto para vivir como para invertir. El complejo residencial ha sido diseñado para el disfrute y cuenta con espectaculares zonas comunes: dos piscinas, una de ellas con acceso tipo playa, rodeadas de zonas para tomar el sol con césped artificial. También dispone de una pista de pádel, un gimnasio, dos jacuzzis, jardines paisajísticos y una zona de juegos infantiles, ideal para los más pequeños. Además, incluye aparcamiento para bicicletas, fomentando un estilo de vida activo y saludable.;https://lrcostahomes.com/wp-content/uploads/2026/09/1.-Las-torres-scaled.jpg;"[""https://lrcostahomes.com/wp-content/uploads/2026/09/1.-Las-torres-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/9.-Piscina-con-Penon-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6.-Espacio-relax.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4.-Piscina-Padel-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7.-Atico-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/11.-Terraza.webp"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-Salon-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-terazza-con-vista-Penon-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-Terraza-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_tipo-A-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/8.-Torre-noche.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2.-Foto-aerea-de-la-zona-scaled.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/apartments-in-calpe/;ref;MARTINEZ;"[""Estacionamiento"", ""Trastero"", ""Piscina""]";38.638792079209;0.04844965479823;no
Apartamento en Calpe;apartamento-en-calpe;Calpe;Calpe;Calpe;Alicante;España;Villa;Obra Nueva € 670.000;670000;LRN-039;Obra Nueva € 670.000;https://lrcostahomes.com/es/property/apartment-in-calpe/;0;3;3;104;Uno de los complejos residenciales más exclusivos de Calpe, situado a tan solo 200 metros de la playa. Este proyecto combina diseño contemporáneo, calidad y una ubicación privilegiada junto al mar y el Parque Natural de Las Salinas. El complejo se encuentra actualmente en construcción y se estima que estará terminado en el primer trimestre de 2027. Contará con zonas comunes diseñadas para toda la familia: una piscina estilo playa, una piscina infantil, una pista de pádel, parques infantiles, zonas para tomar el sol y aparcamiento para bicicletas. 3 dormitorios, 2 baños, 80 m² de superficie habitable más una terraza de 23 m².;https://lrcostahomes.com/wp-content/uploads/2026/08/salon-7.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-7.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-salon-1.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-5.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-6.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-1.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/cocina.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/cocina-1.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/bano-en-suite.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Bedroom-2.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-2.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-5.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-no3.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-no3_1.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Master-bedroom_1.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-1.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-5.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/vertical-1.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/apartment-in-calpe/;ref;MARTINEZ;"[""Estacionamiento"", ""Piscina""]";38.622264995523;0.12214113831024;no
Villas adosadas;villas-adosadas;Santiago de la Ribera;Santiago de la Ribera;Santiago de la Ribera;Alicante;España;Villa;Obra Nueva € 369.900;369900;LRN-038;Obra Nueva € 369.900;https://lrcostahomes.com/es/property/semi-detached-villas/;0;3;3;113125;Villas de lujo en Santiago de la Ribera, la localidad costera más elegante y exclusiva del Mar Menor. Conocida por su club náutico, su cuidado paseo marítimo y su sofisticada oferta gastronómica, Santiago de la Ribera atrae a un público de alto poder adquisitivo. Cada villa incluye 3 dormitorios, piscina privada y solárium. Esta es la dirección que buscan quienes desean lo mejor del Mar Menor. Piscina privada y soláriums de hasta 41 m²: lujo al aire libre en un entorno costero privilegiado. 3 dormitorios, 2-3 baños — 113-123 m² construidos en parcelas de hasta 155 m² A poca distancia a pie de la playa, el puerto deportivo y el famoso paseo marítimo.;https://lrcostahomes.com/wp-content/uploads/2026/08/6-3.jpg;"[""https://lrcostahomes.com/wp-content/uploads/2026/08/6-3.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-3.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/16.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/18.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/19.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20-2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/21-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15-2.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/semi-detached-villas/;ref;MARTINEZ;"[""jardín"", ""Estacionamiento"", ""Solarium"", ""Piscina""]";37.794961742475;-0.8059839785708;no
Villa;villa;Torre Pacheco;Torre Pacheco;Torre Pacheco;Murcia;España;Villa;Obra Nueva € 330.000;330000;LRN-037;Obra Nueva € 330.000;https://lrcostahomes.com/es/property/villa-11/;0;3;3;96;Villa de una sola planta y 3 dormitorios en Balsicas, con entrega prevista para noviembre de 2026. La villa se asienta sobre una parcela de 227 m² con un solárium privado de 92 m² y piscina privada. Se ofrece la opción de añadir mobiliario, aire acondicionado y motor para el garaje, brindando total flexibilidad a los compradores. Su ubicación es ideal, entre el aeropuerto de Corvera y la costa del Mar Menor. 3 dormitorios, 2 baños — 96 m² construidos, distribución espaciosa y práctica. A 15 minutos del Mar Menor, a 15 minutos del aeropuerto de Corvera: ubicación céntrica y bien comunicada, con todos los servicios a poca distancia a pie. Estación de tren de alta velocidad cercana Orientación sur, vistas al castillo. Bancos, tiendas, farmacia, restaurantes, centro de salud y mucho más a poca distancia a pie.;https://lrcostahomes.com/wp-content/uploads/2026/08/1-1.jpg;"[""https://lrcostahomes.com/wp-content/uploads/2026/08/1-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/4-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/5-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/10-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/11-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/12.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/14.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20-1.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/villa-11/;ref;MARTINEZ;[];37.740440195653;-0.90443560187658;no
Bungalows, dúplex y villas;bungalows-d-plex-y-villas;San Juan de los Terreros;San Juan de los Terreros;San Juan de los Terreros;Murcia;España;Villa;Obra Nueva € 409.900;409900;LRN-036;Obra Nueva € 409.900;https://lrcostahomes.com/es/property/bungalows-maisonette-and-villas/;0;23;23;175229;Residencial ofrece acabados de primera calidad en la fabulosa costa de San Juan de Los Terreros, un pueblo costero con aguas cristalinas, acantilados rocosos y un entorno natural virgen. Ofrece villas independientes y amplias casas adosadas. Cada vivienda cuenta con dos terrazas, garaje privado y solárium. A 300 metros de la playa y a 200 metros de un centro comercial. Dos terrazas, soláriums y garaje privado: especificaciones de primera calidad en cada unidad. Zonas verdes ajardinadas y piscina comunitaria tipo playa.;https://lrcostahomes.com/wp-content/uploads/2026/08/1.jpg;"[""https://lrcostahomes.com/wp-content/uploads/2026/08/1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-1-scaled.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/11.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/16.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/18.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/19.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/21.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/bungalows-maisonette-and-villas/;ref;MARTINEZ;"[""jardín"", ""Estacionamiento"", ""Solarium"", ""Piscina""]";37.365402701582;-1.6592999673037;no
Apartamentos;apartamentos;Lo Pagan;Lo Pagán;Lo Pagán;Murcia;España;Villa;Obra Nueva € 139.900;139900;LRN-035;Obra Nueva € 139.900;https://lrcostahomes.com/es/property/apartments-3/;0;1;1;45;Situado a 700 m de la playa, ofrece 17 apartamentos y estudios turísticos, ideales para vacaciones o como inversión. Estas propiedades, completamente amuebladas, están diseñadas para brindar comodidad, calidad y estilo a solo minutos del mar. Cada propiedad incluye un trastero privado y una piscina comunitaria en la azotea con zona de relax.;https://lrcostahomes.com/wp-content/uploads/2026/08/3.jpg;"[""https://lrcostahomes.com/wp-content/uploads/2026/08/3.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/4.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/5.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/10.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/2.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/apartments-3/;ref;MARTINEZ;"[""Lift"", ""Trastero"", ""Piscina""]";37.825438442405;-0.78594754577177;no
Áticos;ticos;Lo Pagan;Lo Pagán;Lo Pagán;Murcia;España;Villa;En venta € 949.900;949900;LRN-034;En venta € 949.900;https://lrcostahomes.com/es/property/penthouse/;0;3;3;171;La joya de la corona del portafolio de Lo Pagán. Un ático individual en el cuarto piso de 172 m² con 3 recámaras, 3 baños y piscina privada, que incluye 2 plazas de estacionamiento cerradas con puertas automáticas. Ubicado en la cima de un edificio de primera categoría a solo 70 metros del mar, esta es la compra de lujo definitiva para el comprador que busca las mejores vistas sin concesiones. Piscina privada en el solárium con impresionantes vistas de 360 ​​grados. 2 plazas de aparcamiento cerradas con puertas automáticas Cuarto piso: el piso más alto y privado del edificio.;https://lrcostahomes.com/wp-content/uploads/2026/08/1.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/08/1.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/2.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-3.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-4.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-5.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Cocina-Atico.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-6.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/penthouse/;ref;MARTINEZ;"[""Piscina""]";37.828150240005;-0.78148434997099;no
Villas de una sola planta;villas-de-una-sola-planta;Avileses;Aviléses;Aviléses;Murcia;España;Villa;Obra Nueva € 289.900;289900;LRN-033;Obra Nueva € 289.900;https://lrcostahomes.com/es/property/one-level-villas/;0;3;3;82;Modernas villas de una sola planta con tres dormitorios en un tranquilo pueblo: un entorno residencial apacible con excelente acceso por carretera a la costa, el aeropuerto y todos los servicios principales. Cada villa cuenta con piscina privada y un amplio solárium de 72 m² en una parcela de 135 a 147 m². Una inversión segura y discreta para quienes buscan espacio y tranquilidad a un precio accesible.;https://lrcostahomes.com/wp-content/uploads/2026/07/1-44.jpg;"[""https://lrcostahomes.com/wp-content/uploads/2026/07/1-44.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/2-19.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/3-16.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/4-17.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/5-15.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/6-16.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/7-20.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/8-15.jpg""]";Selección Vivienda Nova;draft;capture;;https://lrcostahomes.com/es/property/one-level-villas/;ref;MARTINEZ;"[""jardín"", ""Solarium"", ""Piscina""]";37.924900344222;-1.1028344476272;no
