title;slug;address;city;zone;province;country;type;price;priceValue;referenceCode;sourcePrice;sourceUrl;sortOrder;bedrooms;bathrooms;surface;description;imageUrl;gallery;tag;status;linkMode;vendorId;externalUrl;referralParameter;referralCode
Apartamentos, bungalows y villas;apartamentos-bungalows-y-villas;Vera Playa;Vera Playa;Vera Playa;Alicante;España;Villa;Obra Nueva € 249.000;249000;de;Obra Nueva € 249.000;https://lrcostahomes.com/es/property/apartments-bungalows-and-villas/;0;3;2;70;El más grande y diverso…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/Central-outdoor-swimming-pool-Apt-1240x720.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/3-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/5-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/8-Apt-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/Heated-indoor-swimming-pool-Apt-1240x720.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1-Bung-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2-Bung-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/3-Bung-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4-Bung-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/5-Bung-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6-Bung-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7-Bung-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/Central-outdoor-swimming-pool-Apt-488x326.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/3-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/5-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/8-Apt-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/Heated-indoor-swimming-pool-Apt-488x326.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1-Bung-488x326.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/apartments-bungalows-and-villas/;ref;MARTINEZ
Local comercial;local-comercial;Calpe;Calpe;Calpe;Alicante;España;Villa;Obra Nueva € 201.000;201000;de;Obra Nueva € 201.000;https://lrcostahomes.com/es/property/business-premises/;0;0;0;93;Hay locales comerciales disponibles en…;https://lrcostahomes.com/wp-content/themes/realhomes/common/images/placeholders/property-thumb-image.jpg;"[""https://lrcostahomes.com/wp-content/themes/realhomes/common/images/placeholders/property-thumb-image.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/FOTO-GENERAL-FACHADA-Y-PISCINA-100-680x510.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1.-Las-torres-680x510.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/business-premises/;ref;MARTINEZ
Apartamentos en Calpe;apartamentos-en-calpe;Calpe;Calpe;Calpe;Alicante;España;Villa;Obra Nueva € 430.000;430000;de;Obra Nueva € 430.000;https://lrcostahomes.com/es/property/apartments-in-calpe/;0;2;2;102;Un nuevo proyecto exclusivo...;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1.-Las-torres-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/9.-Piscina-con-Penon-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6.-Espacio-relax-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4.-Piscina-Padel-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7.-Atico-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/11.-Terraza-1240x720.webp"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-Salon-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-terazza-con-vista-Penon-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-Terraza-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_tipo-A-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/8.-Torre-noche-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2.-Foto-aerea-de-la-zona-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/1.-Las-torres-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/9.-Piscina-con-Penon-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/6.-Espacio-relax-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/4.-Piscina-Padel-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/7.-Atico-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/11.-Terraza-488x326.webp"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-Salon-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-terazza-con-vista-Penon-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-Terraza-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_Atico-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/260127_tipo-A-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/8.-Torre-noche-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/09/2.-Foto-aerea-de-la-zona-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/06/88030-57038612-1498909388.jpg-680x510.webp"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/6-12-680x510.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/apartments-in-calpe/;ref;MARTINEZ
Apartamento en Calpe;apartamento-en-calpe;Calpe;Calpe;Calpe;Alicante;España;Villa;Obra Nueva € 670.000;670000;de;Obra Nueva € 670.000;https://lrcostahomes.com/es/property/apartment-in-calpe/;0;3;2;104;Uno de los lugares más exclusivos de Calpe…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-7-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-salon-1-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-5-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-6-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-1-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/cocina-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/cocina-1-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/bano-en-suite-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Bedroom-2-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-2-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-5-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-no3-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-no3_1-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/habitacion-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Master-bedroom_1-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-1-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-5-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/vertical-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-7-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-salon-1-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-5-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-6-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-1-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/comedor-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/cocina-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/cocina-1-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/bano-en-suite-488x326.png""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/apartment-in-calpe/;ref;MARTINEZ
Villas adosadas;villas-adosadas;Calpe;Calpe;Calpe;Alicante;España;Villa;Obra Nueva € 369.900;369900;de;Obra Nueva € 369.900;https://lrcostahomes.com/es/property/semi-detached-villas/;0;3;3;113;Villas premium en Santiago de…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-3-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-3-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/16-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/18-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/19-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/21-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-3-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-3-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/16-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/18-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/19-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/21-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/salon-7-680x510.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/1-39-680x510.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/semi-detached-villas/;ref;MARTINEZ
Villa;villa;Orihuela;Torre Pacheco;Torre Pacheco;Murcia;España;Villa;Obra Nueva € 330.000;330000;de;Obra Nueva € 330.000;https://lrcostahomes.com/es/property/villa-11/;0;3;2;96;Villa de una sola planta con 3 dormitorios en…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/4-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/5-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/10-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/11-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/12-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/14-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/4-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/5-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/10-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/11-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/12-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-1-488x326.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/villa-11/;ref;MARTINEZ
Bungalows, dúplex y villas;bungalows-d-plex-y-villas;Orihuela;Orihuela;Orihuela;Murcia;España;Villa;Obra Nueva € 409.900;409900;de;Obra Nueva € 409.900;https://lrcostahomes.com/es/property/bungalows-maisonette-and-villas/;0;2;2;175;Residencial ofrece especificaciones de primera calidad…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-1-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/11-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/16-1240x720.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17-1240x720.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/18-1240x720.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/19-1240x720.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/21-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/11-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/13-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/15-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/16-488x326.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/17-488x326.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/18-488x326.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/19-488x326.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/20-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/21-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/FOTO-GENERAL-FACHADA-Y-PISCINA-100-680x510.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-680x510.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/bungalows-maisonette-and-villas/;ref;MARTINEZ
Apartamentos;apartamentos;Orihuela;Orihuela;Orihuela;Murcia;España;Villa;Obra Nueva € 139.900;139900;de;Obra Nueva € 139.900;https://lrcostahomes.com/es/property/apartments-3/;0;1;1;45;Situado a 700 m de…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/4-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/5-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8-1024x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-1024x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/10-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/2.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/3-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/4-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/5-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/10-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/2-418x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/06/76208-57027364-1498434924.jpg-600x510.webp"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/1-36-680x510.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/apartments-3/;ref;MARTINEZ
Áticos;ticos;Orihuela;Orihuela;Orihuela;Murcia;España;Villa;En venta € 949.900;949900;de;En venta € 949.900;https://lrcostahomes.com/es/property/penthouse/;0;3;3;171;La joya de la corona de…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-948x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/2-853x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-1024x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-1240x720.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-1.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-2-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-3-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-4-1024x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-5-1024x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Cocina-Atico.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-6-1024x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/1-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/2-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/6-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/7-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/8-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/9-488x326.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-1-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-2-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-3-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-4-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-5-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Cocina-Atico-488x326.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/08/Atico-6-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-10-at-13.12.14-680x510.jpeg"", ""https://lrcostahomes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-02-24-at-11.39.16-2-680x510.jpeg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/penthouse/;ref;MARTINEZ
Villas de una sola planta;villas-de-una-sola-planta;Orihuela;Orihuela;Orihuela;Murcia;España;Villa;Obra Nueva € 289.900;289900;de;Obra Nueva € 289.900;https://lrcostahomes.com/es/property/one-level-villas/;0;3;2;82;Villas modernas de una sola planta con 3 dormitorios…;https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png;"[""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-513.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/04/l-r-costa-homes-511.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/1-44-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/2-19-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/3-16-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/4-17-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/5-15-1240x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/6-16-1210x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/7-20-1213x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/8-15-1211x720.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/1-44-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/2-19-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/3-16-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/4-17-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/5-15-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/6-16-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/7-20-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/8-15-488x326.jpg"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/4-680x510.png"", ""https://lrcostahomes.com/wp-content/uploads/2026/07/1-39-680x510.jpg""]";Importada de LRCostaHomes;draft;capture;;https://lrcostahomes.com/es/property/one-level-villas/;ref;MARTINEZ
